Step,RT-3dB-no_cst,RT-3dB-org,RT-3dB-no_pl,EB-3dB-no_pl,DD-3dB-no_pl,DD-3dB-upd,DD-3dB-no_nm,DD-3dB-no_cst,DD-3dB-org,EB-3dB-upd,EB-3dB-no_nm,EB-3dB-no_cst,EB-3dB-org,RT-3dB-upd,RT-3dB-no_nm
1,66.39,66.59,70.5,66.75,63.7,50.68,28.03,62.160000000000004,61.38,70.84,27.310000000000002,63.06,63.6,72.56,25.46
2,75.12,78.53,80.06,78.66,74.94,56.779999999999994,22.41,69.28999999999999,68.86,78.79,20.119999999999997,68.93,76.18,79.13,14.31
3,76.13,79.97,82.38,80.28,78.60000000000001,58.879999999999995,19.509999999999998,71.75,72.15,78.79,16.06,68.60000000000001,77.74,80.12,11.55
4,72.91,80.03,83.25,81.97,80.56,60.629999999999995,18.55,73.2,73.04,80.52,13.71,63.17,78.79,80.94,11.540000000000001
5,72.63,82.08,85.06,82.77,81.39,61.339999999999996,18.59,71.8,73.83,78.89,12.1,66.31,79.17999999999999,82.88,10.95
6,75.82,82.54,85,82.92,81.86,61.88,18.21,72.13000000000001,75.26,79.65,11.5,61.42999999999999,78.49000000000001,81.34,10.66
7,75.52,82.17,85.18,83.49,83.2,63.24999999999999,17.849999999999998,73.5,74.79,79.83,11.68,63.6,78.5,83.13000000000001,10.41
8,75.51,81.89,84.66,82.41000000000001,83.31,62.1,17.4,74.45,77.61,80.78999999999999,11.25,62.7,79.58,82.22,10.440000000000001
9,76.03,81.67,85.31,84.11999999999999,84.52,61.78,17.06,72.91,77.60000000000001,80.56,11.21,59.43000000000001,79.52,82.04,10.299999999999999
10,76.82,82.52000000000001,85.63,83.54,83.56,60.5,16.54,71.82,77.3,80.41,10.91,54.58,79.59,83.11,10.38
11,77.55,82.87,85.6,83.78999999999999,84.93,60.38,16.35,71.24000000000001,76.35,81.42,10.57,53.47,79.88,82.83,10.31
12,77.33,83.38,86.02,84.44,84.65,59.599999999999994,16.21,70.12,78.5,81.88,10.39,56.06,80.22,82.66,10.39
13,77.61,83.08,86.07000000000001,84.6,85.18,59.29,16.16,69.17999999999999,77.81,81.77,10.41,50.67,80.38,83.8,10.6
14,77.14,82.96,86.6,84.47,85.22,59.68,16.06,71.15,78.03999999999999,80.97,10.190000000000001,50.7,81.08999999999999,83.42,10.56
15,76.82,82.91,86.42999999999999,84.35000000000001,85.47,59.41,16.05,69.75,77.66999999999999,80.52,10.280000000000001,51.300000000000004,81.38,84.02,10.299999999999999
16,75.44,82.67,86.29,84.49,85.82,58.93000000000001,15.950000000000001,69.98,77.62,81.53,10.290000000000001,49.480000000000004,81.58,83.81,10.2
17,74.38,82.88,86.69,84.66,86.00999999999999,58.620000000000005,16.17,70.39,78.45,82,10.22,51.160000000000004,81.10000000000001,83.88,10.27
18,76.02,82.67999999999999,86.36,83.83,86.00999999999999,59.099999999999994,16.18,70.78999999999999,78.11,81.58,10.22,49.71,80.73,83.58,10.23
19,76.09,82.75,86.48,84.43,85.92999999999999,58.489999999999995,16.39,67.51,78.10000000000001,80.77,10.2,50.31,80.38,82.43,10.290000000000001
20,76.89,83.86,86.63,84.49,85.87,58.48,16.46,70.84,78.71000000000001,82.04,10.13,50.94,81.82000000000001,83.46000000000001,10.26
21,,,86.57000000000001,84.2,85.56,,,,,,,,,,
22,,,86,84.72,86.21,,,,,,,,,,
23,,,86.42999999999999,84.74000000000001,86.48,,,,,,,,,,
24,,,86.97,84.82,86.57000000000001,,,,,,,,,,
25,,,86.9,84.35000000000001,86.13,,,,,,,,,,
26,,,86.85000000000001,84.59,86.42999999999999,,,,,,,,,,
27,,,86.52,84.78999999999999,86.26,,,,,,,,,,
28,,,86.95,84.98,86.81,,,,,,,,,,
29,,,87.06,84.73,86.71,,,,,,,,,,
30,,,86.87,84.78999999999999,86.91,,,,,,,,,,
31,,,86.89,84.85000000000001,86.04,,,,,,,,,,
32,,,87.25,84.99,86.89,,,,,,,,,,
33,,,86.79,84.69,86.99,,,,,,,,,,
34,,,86.87,84.56,86.17,,,,,,,,,,
35,,,86.9,84.48,86.56,,,,,,,,,,
36,,,86.85000000000001,84.76,86.82,,,,,,,,,,
37,,,86.91,84.82,86.72999999999999,,,,,,,,,,
38,,,86.97,84.78,86.63,,,,,,,,,,
39,,,87.25,84.39,86.65,,,,,,,,,,
40,,,87.03999999999999,84.54,86.94,,,,,,,,,,
41,,,87.17,84.8,86.6,,,,,,,,,,
42,,,87.13,84.57000000000001,86.97,,,,,,,,,,
43,,,86.72999999999999,84.73,86.99,,,,,,,,,,
44,,,87.06,84.71,86.92999999999999,,,,,,,,,,
45,,,86.96000000000001,84.63000000000001,87.06,,,,,,,,,,
46,,,86.69,84.54,87.14,,,,,,,,,,
47,,,87,84.61999999999999,87.14,,,,,,,,,,
48,,,86.87,84.68,87.07000000000001,,,,,,,,,,
49,,,86.98,84.64,87.09,,,,,,,,,,
50,,,87.07000000000001,84.86,87.01,,,,,,,,,,