Step,EB-10dB-no_cst,EB-10dB-no_pl,EB-10dB-org,EB-10dB-upd
0,89.18800292611559,89.36356986100951,88.80760790051208,89.56839795171909
1,90.82662765179225,90.89978054133138,90.44623262618873,91.16313094367227
2,90.73884418434528,90.85588881,90.19751280175568,91.13386978785663
3,90.82662765179225,90.73884418434528,90.15362106803218,91.42648134601316
4,90.76810534016093,90.95830285296269,89.89027066569129,91.57278712509144
5,90.73884418434528,90.98756400877835,89.97805413313826,91.51426481346013
6,90.69495245,90.89978054133138,89.68544257,91.57278712509144
7,90.76810534016093,90.91441111923922,89.68544257,91.54352596927579
8,90.70958302852962,91.04608632040966,89.71470373079737,91.60204828
9,90.60716898317483,90.75347476,89.45135332845648,91.55815654718361
10,90.43160204828091,90.75347476,89.40746159,91.57278712509144
11,90.49012435991222,90.94367227505487,89.45135332845648,91.67520117044623
12,90.43160204828091,90.84125822970007,89.33430870519385,91.67520117044623
13,90.27066569129481,90.87051938551572,89.04169714703731,91.57278712509144
14,90.35844915874178,90.85588881,89.26115581565472,91.60204828
15,90.22677395757133,90.78273591806877,88.93928310168252,91.55815654718361
16,90.28529626920263,90.75347476,88.95391367959034,91.49963424
17,90.16825164594002,90.85588881,88.80760790051208,91.42648134601316
18,90.06583760058521,90.88514996342354,88.85149963423555,91.51426481346013
19,90.00731528895392,90.59253841,88.55888808,91.45574250182882
20,89.99268471,90.69495245,88.63204096561815,91.44111192
21,,,,91.41185076810534
22,,,,91.57278712509144
23,,,,91.48500365764448
24,,,,91.39722019019752
25,,,,91.39722019019752
26,,,,91.49963424
27,,,,91.49963424
28,,,,91.45574250182882
29,,,,91.36795903438187
30,,,,91.36795903438187
31,,,,91.39722019019752
32,,,,91.42648134601316
33,,,,91.44111192
34,,,,91.42648134601316
35,,,,91.36795903438187
36,,,,91.29480614484272
37,,,,91.33869788
38,,,,91.28017557
39,,,,91.33869788
40,,,,91.38258961228969
41,,,,91.35332845647403
42,,,,91.36795903438187
43,,,,91.41185076810534
44,,,,91.35332845647403
45,,,,91.41185076810534
46,,,,91.32406730065837
47,,,,91.39722019019752
48,,,,91.38258961228969
49,,,,91.32406730065837