Step,DD-3dB-no_cst,DD-3dB-org,running_tap_3.0,exercise_bike_3.0,doing_the_dishes_3.0,RT-3dB-no_nm,RT-3dB-no_cst,RT-3dB-no_pl,RT-3dB-org,EB-3dB-no_nm,EB-3dB-no_cst,EB-3dB-no_pl,EB-3dB-org,DD-3dB-no_pl,DD-3dB-no_nm
0,2.9391647032309027,2.9366919394809874,0.3204013356510462,0.36021664245666263,0.3783648105080244,2.914597426361881,2.9687017700831655,0,2.964922584628275,2.8917931667376013,2.943674615746093,0,2.9402740343425755,0,2.901327965929754
1,3.192373431624381,3.1751123602401483,0.2556099945530645,0.2786179266633912,0.30991624512801497,2.8075848859100834,3.2609222806605374,0,3.242912975100564,2.799303454517479,3.224471826193758,0,3.2085781409776826,0,2.848208785721674
2,3.313628498447333,3.2844234415343108,0.2000262305203895,0.21780674983069578,0.2394724198936227,2.418415536972838,3.3604542152002947,0,3.3336853075055446,2.4484310570247296,3.3363113275995837,0,3.307736365,0,2.5160561591176918
3,3.382851671375019,3.3422530397003247,0.17253548915808398,0.1905189560641023,0.20659599784420618,2.348352171165842,3.4178435487646452,0,3.379931239664834,2.3603758953966447,3.3971152884859435,0,3.3568952932184293,0,2.3936842703763306
4,3.433520359122697,3.3860159644358596,0.16151140782842194,0.17502701706296717,0.18568170268390274,2.358539141014988,3.4607036817521557,0,3.4170530806404886,2.356302773168949,3.450669661304201,0,3.4022501027080376,0,2.360714942286832
5,3.4786018459869665,3.4265782141909353,0.14754701941383416,0.1635348377858634,0.17400210870303073,2.348533442392595,3.4948809885642897,0,3.4488521568791968,2.360934746657179,3.491239545280945,0,3.4375500213792063,0,2.355982304633783
6,3.509304002626961,3.4520184804855933,0.14203763785531545,0.15679494857114734,0.1643197670821625,2.3222794214114897,3.5143584205371114,0,3.4686184142816794,2.357066431445695,3.5188977077533377,0,3.4597047827613183,0,2.3463040913844333
7,3.5368445631064156,3.477133941692366,0.13643958635339645,0.14917120907812034,0.15933504497562426,2.295885193,3.5257031170415205,0,3.478531868,2.3480104291243173,3.5383331436366543,0,3.474604784392975,0,2.333050332263882
8,3.563780620904036,3.499414394019355,0.12971273341386672,0.14598583499245135,0.14941534500223685,2.2814437108630305,3.549183987325906,0,3.4967936592902378,2.336912903882248,3.5622431078986945,0,3.4937769139596555,0,2.319599389855011
9,3.585515657501041,3.5163858284552894,0.12411774655895857,0.13912632824205948,0.1449049774425087,2.2724099308602126,3.568321361508168,0,3.516609405337925,2.327167972082823,3.5900146188870283,0,3.5216213706793362,0,2.3135404605330994
10,3.594713208611023,3.5241438084644887,0.12320338516384627,0.1338421275834837,0.1435816301658155,2.2648157709291286,3.5699620020921237,0,3.5186518910625173,2.316551567208319,3.596015169586934,0,3.525398397039919,0,2.309426087273958
11,3.6164997836373782,3.546211980458157,0.11871297804949184,0.13088173852761237,0.13908416422481865,2.261760997030657,3.5813246814297957,0,3.5328605924973466,2.308557524472615,3.6128607486755073,0,3.540419402396735,0,2.307779815904971
12,3.624875504226192,3.5509880877016857,0.11816858677434004,0.1284564487546455,0.13709500885105086,2.2597659580374545,3.5900728715837285,0,3.543868421318945,2.3033321795748996,3.623051044177002,0,3.548597908215903,0,2.3086882620490212
13,3.632402078996242,3.560441407099576,0.11620033937375204,0.12650451410568359,0.13377682741473435,2.2570407656436795,3.5858672531977507,0,3.5457519788137626,2.296450063411339,3.633117532366318,0,3.559874800938956,0,2.3072483018040657
14,3.643562859842475,3.569397125655497,0.11090353324499962,0.1231224073218444,0.12790709427894562,2.2545891424789675,3.5886759961574852,0,3.5482242441093415,2.291246616399624,3.6379463673337527,0,3.5630829702240763,0,2.307904831750292
15,3.652194946864401,3.5765737592474394,0.11089820799553339,0.12279427751074566,0.13017284473734403,2.252215367387718,3.5901281930191415,0,3.5521096659238345,2.2885772089163465,3.6447781912038026,0,3.566318841327524,0,2.307711312538581
16,3.657800279242892,3.581916336232508,0.10833031107931716,0.11979182078087694,0.1275343878660351,2.250614481597719,3.6002172778050103,0,3.5638314282670267,2.284608880154124,3.6557274297789233,0,3.5751496699634298,0,2.3076912615570664
17,3.6644580446078745,3.5874510857280986,0.10793068289905437,0.11698589589175694,0.1234686967480639,2.248974247647563,3.6062095436691677,0,3.570377312495675,2.280705582193086,3.663437542431231,0,3.5820740296947005,0,2.3078995210254134
18,3.6693159438354868,3.5913493186935015,0.10415281569738238,0.11515555711476211,0.11948937623424918,2.2462208348680552,3.6084496551696126,0,3.5718532620181502,2.2790947019564154,3.6702917495243987,0,3.584925995,0,2.3052116340035003
19,3.673570598,3.5965247613163625,0.10465957938164402,0.1151611531528255,0.12021183741045022,2.242254384491645,3.599712732,0,3.573201729658064,2.2764617682132924,3.675907703352646,0,3.590364385168877,0,2.303052488976801
20,3.6816762908943383,3.600085820530502,0.10201979512971839,0.11118565689599658,0.11769965734549233,2.2378535582705843,3.5982475716603193,0,3.576259192586505,2.275426197849529,3.676479322040025,0,3.5929855641344903,0,2.305357649642537
21,,,0.099374202,0.11123057069232854,0.11742952406273044,,,,,,,,,,
22,,,0.099758598,0.10749835068985225,0.11535400838728889,,,,,,,,,,
23,,,0.098797388,0.105599892,0.11337761902616539,,,,,,,,,,
24,,,0.097569059,0.10566327902881928,0.1129810858743064,,,,,,,,,,
25,,,0.097264715,0.10165312075211357,0.1103800252116036,,,,,,,,,,
26,,,0.093616328,0.10381578861302893,0.10986732466019551,,,,,,,,,,
27,,,0.094646393,0.10035890105350967,0.10933162351554268,,,,,,,,,,
28,,,0.092994445,0.099652731,0.10858908121554978,,,,,,,,,,
29,,,0.091719993,0.097115201,0.1065059944040671,,,,,,,,,,
30,,,0.089900299,0.098014901,0.10659976270319806,,,,,,,,,,
31,,,0.090537069,0.097072908,0.10347739203631914,,,,,,,,,,
32,,,0.090143731,0.095549534,0.10388565712669612,,,,,,,,,,
33,,,0.089188197,0.096314627,0.10339122902582282,,,,,,,,,,
34,,,0.087468603,0.097308302,0.10357656680919808,,,,,,,,,,
35,,,0.087551269,0.091713227,0.1004372177328018,,,,,,,,,,
36,,,0.086495582,0.093343315,0.099720201,,,,,,,,,,
37,,,0.085140385,0.09262444,0.10077227788328022,,,,,,,,,,
38,,,0.085987522,0.091194997,0.10085473376262863,,,,,,,,,,
39,,,0.08408146,0.08835456,0.099501991,,,,,,,,,,
40,,,0.082108279,0.090284695,0.096207735,,,,,,,,,,
41,,,0.084023461,0.089037531,0.097297909,,,,,,,,,,
42,,,0.082905177,0.088628548,0.094895419,,,,,,,,,,
43,,,0.082374361,0.089157481,0.096256726,,,,,,,,,,
44,,,0.081096136,0.087731773,0.093094269,,,,,,,,,,
45,,,0.081103026,0.085637837,0.094088424,,,,,,,,,,
46,,,0.082331372,0.084668169,0.094403204,,,,,,,,,,
47,,,0.080413989,0.086238564,0.092508457,,,,,,,,,,
48,,,0.080413687,0.084293365,0.092899376,,,,,,,,,,
49,,,0.079051763,0.084640925,0.093126578,,,,,,,,,,